Work Item Type,Title,Parent,Description,Effort,Assigned To,ID,Parent,Iteration Path
Epic,Testing & QA,,"Automated tests, manual QA, performance",,,9,,Saas-sphyco_code
Feature,Automated Testing,9.0,"Unit, integration, E2E",,,9,Testing & QA,Saas-sphyco_code\Sprint  13
User Story,app Unit Tests,9.0,"As a app dev, I want 90% coverage.",32h,app Team,9,Automated Testing,Saas-sphyco_code
Task,Write unit tests,9.0,Pytest unit tests,16h,app Team,9,app Unit Tests,Saas-sphyco_code
Task,Integration tests,9.0,Test endpoints,16h,app Team,9,app Unit Tests,Saas-sphyco_code
Feature,Manual QA & UAT,9.0,Functional & usability testing,,,9,Testing & QA,Saas-sphyco_code\Sprint  14
User Story,Usability Testing,9.0,"As a QA, I want to test with beta users.",24h,QA Team,9,Manual QA & UAT,Saas-sphyco_code
Task,Accessibility audits,9.0,WCAG compliance,12h,QA Team,9,Usability Testing,Saas-sphyco_code
Task,Beta user feedback,9.0,Collect input,12h,QA Team,9,Usability Testing,Saas-sphyco_code
Epic,Deployment & Launch,,"Production setup, beta, launch",,,10,,Saas-sphyco_code
Feature,Production Deployment,10.0,"Infra, DB, security setup",,,10,Deployment & Launch,Saas-sphyco_code\Sprint  17
User Story,Infrastructure Deployment,10.0,"As a DevOps lead, I want production infra configured.",24h,DevOps Lead,10,Production Deployment,Saas-sphyco_code
Task,K8s cluster setup,10.0,Prod cluster,12h,DevOps Lead,10,Infrastructure Deployment,Saas-sphyco_code
Task,Monitoring & logging,10.0,Prometheus/Grafana,12h,DevOps Lead,10,Infrastructure Deployment,Saas-sphyco_code
Feature,Launch Preparation,10.0,"Docs, marketing, regression tests",,,10,Deployment & Launch,Saas-sphyco_code\Sprint  19
User Story,Documentation Completion,10.0,"As a technical writer, I want docs ready before launch.",24h,Technical Writer,10,Launch Preparation,Saas-sphyco_code
Task,API documentation,10.0,Swagger docs,12h,Technical Writer,10,Documentation Completion,Saas-sphyco_code
Task,Deployment guides,10.0,Ops guides,12h,Technical Writer,10,Documentation Completion,Saas-sphyco_code
Feature,Launch Execution,10.0,"Go-live activities, monitoring",,,10,Deployment & Launch,Saas-sphyco_code\Sprint  20
User Story,Go-Live,10.0,"As a team, we want to execute the launch smoothly.",40h,All Teams,10,Launch Execution,Saas-sphyco_code
Task,Deploy to prod,10.0,Final release,20h,DevOps Lead,10,Go-Live,Saas-sphyco_code
Task,Monitor system performance,10.0,Post-launch monitoring,20h,DevOps Lead,10,Go-Live,Saas-sphyco_code
