Work Item Type,Title,Description,Effort,Area,Iteration Path,Parent,ID
Feature,Automated Testing,"Unit, integration, E2E",,,sphyco_code\Sprint 13,4,
User Story,app Unit Tests,"As a app dev, I want 90% coverage.",32h,app Team,sphyco_code\Sprint 13,4,
Task,Write unit tests,Pytest unit tests,16h,app Team,sphyco_code\Sprint 13,4,
Task,Integration tests,Test endpoints,16h,app Team,sphyco_code\Sprint 13,4,
Feature,Manual QA & UAT,Functional & usability testing,,,sphyco_code\Sprint 14,4,
User Story,Usability Testing,"As a QA, I want to test with beta users.",24h,QA Team,sphyco_code\Sprint 14,4,
Task,Accessibility audits,WCAG compliance,12h,QA Team,sphyco_code\Sprint 14,4,
Task,Beta user feedback,Collect input,12h,QA Team,sphyco_code\Sprint 14,4,
Epic,Deployment & Launch,"Production setup, beta, launch",,,sphyco_code,,
Feature,Production Deployment,"Infra, DB, security setup",,,sphyco_code\Sprint 17,5,
User Story,Infrastructure Deployment,"As a DevOps lead, I want production infra configured.",24h,DevOps Lead,sphyco_code\Sprint 17,5,
Task,K8s cluster setup,Prod cluster,12h,DevOps Lead,sphyco_code\Sprint 17,5,
Task,Monitoring & logging,Prometheus/Grafana,12h,DevOps Lead,sphyco_code\Sprint 17,5,
Feature,Launch Preparation,"Docs, marketing, regression tests",,,sphyco_code\Sprint 19,5,
User Story,Documentation Completion,"As a technical writer, I want docs ready before launch.",24h,Technical Writer,sphyco_code\Sprint 19,5,
Task,API documentation,Swagger docs,12h,Technical Writer,sphyco_code\Sprint 19,5,
Task,Deployment guides,Ops guides,12h,Technical Writer,sphyco_code\Sprint 19,5,
Feature,Launch Execution,"Go-live activities, monitoring",,,sphyco_code\Sprint 20,5,
User Story,Go-Live,"As a team, we want to execute the launch smoothly.",40h,All Teams,sphyco_code\Sprint 20,5,
Task,Deploy to prod,Final release,20h,DevOps Lead,sphyco_code\Sprint 20,5,
Task,Monitor system performance,Post-launch monitoring,20h,DevOps Lead,sphyco_code\Sprint 20,5,
,,,,,,,
,,,,,,,
,,,,,,,
