service_name,original_path,archived_path,method,archived_at
search_service,app/services/search_service.py,archived_services/services/search_service.py,git mv,2026-01-08T13:35:58.805548
secure_password_reset_service,app/services/secure_password_reset_service.py,archived_services/services/secure_password_reset_service.py,git mv,2026-01-08T13:35:58.863927
security_audit_service,app/services/security_audit_service.py,archived_services/services/security_audit_service.py,git mv,2026-01-08T13:35:58.933756
security_monitoring_service,app/services/security_monitoring_service.py,archived_services/services/security_monitoring_service.py,git mv,2026-01-08T13:35:59.002842
sentiment_dashboard_service,app/services/sentiment_dashboard_service.py,archived_services/services/sentiment_dashboard_service.py,git mv,2026-01-08T13:35:59.081915
session_rotation_service,app/services/session_rotation_service.py,archived_services/services/session_rotation_service.py,git mv,2026-01-08T13:35:59.142355
slack_integration_service,app/services/slack_integration_service.py,archived_services/services/slack_integration_service.py,git mv,2026-01-08T13:35:59.197420
template_service,app/services/template_service.py,archived_services/services/template_service.py,git mv,2026-01-08T13:35:59.270331
test_analytics_service,app/services/test_analytics_service.py,archived_services/services/test_analytics_service.py,git mv,2026-01-08T13:35:59.326700
threat_intelligence_service,app/services/threat_intelligence_service.py,archived_services/services/threat_intelligence_service.py,git mv,2026-01-08T13:35:59.388679
toxicity_detection_service,app/services/toxicity_detection_service.py,archived_services/services/toxicity_detection_service.py,git mv,2026-01-08T13:35:59.451815
trend_reporting,app/services/trend_reporting.py,archived_services/services/trend_reporting.py,git mv,2026-01-08T13:35:59.549103
validation_framework,app/services/validation_framework.py,archived_services/services/validation_framework.py,git mv,2026-01-08T13:35:59.610278
web_application_firewall,app/services/web_application_firewall.py,archived_services/services/web_application_firewall.py,git mv,2026-01-08T13:35:59.673138
webhook_manager,app/services/webhook_manager.py,archived_services/services/webhook_manager.py,git mv,2026-01-08T13:35:59.728185
webhook_manager_secure,app/services/webhook_manager_secure.py,archived_services/services/webhook_manager_secure.py,mv,2026-01-08T13:35:59.807192
wellness_monitoring_service,app/services/wellness_monitoring_service.py,archived_services/services/wellness_monitoring_service.py,git mv,2026-01-08T13:35:59.865580
wordcloud_service,app/services/wordcloud_service.py,archived_services/services/wordcloud_service.py,git mv,2026-01-08T13:35:59.927657
